region_id,region_nombre,comuna_id,comuna_nombre,total_votos_1era,votos_boric,votos_kast,votos_artes,votos_parisi,votos_meo,votos_sichel,votos_provoste,opcion,n_votos_pleb,total_votos_pleb,voto_apruebo,voto_rechazo,participacion,dif_1era_pleb
3009,DE LA ARAUCANIA,2680,GALVARINO,5229,880,1802,73,473,376,364,1134,APRUEBO,2472,3537,2472,,.29479912,1692
3015,DE ARICA Y PARINACOTA,2825,GENERAL LAGOS,513,24,140,5,239,26,26,39,APRUEBO,220,313,220,,.1450417,200
3009,DE LA ARAUCANIA,2681,GORBEA,6494,794,3155,40,639,228,805,841,APRUEBO,3290,5419,3290,,.35004523,1075
3006,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,2584,GRANEROS,13577,3724,2891,153,2238,1348,1479,1517,APRUEBO,12968,15292,12968,,.57432181,-1715
3011,DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,2741,GUAITECAS,499,129,150,4,68,18,43,80,APRUEBO,488,607,488,,.38080302,-108
3005,DE VALPARAISO,2560,HIJUELAS,7424,1454,1725,59,1894,644,778,762,APRUEBO,6338,7648,6338,,.49591494,-224
3010,DE LOS LAGOS,2735,HUALAIHUE,3728,628,1041,48,678,223,389,600,APRUEBO,2325,2871,2325,,.3415128,857
3007,DEL MAULE,2626,HUALAÑE,4216,817,992,40,366,259,660,1017,APRUEBO,3300,4118,3300,,.42985386,98
3008,DEL BIOBIO,2653,HUALPEN,39600,8184,9919,523,8828,3421,3711,4598,APRUEBO,34255,43524,34255,,.56136972,-3924
3008,DEL BIOBIO,2646,HUALQUI,8534,1433,2304,103,1802,847,823,1063,APRUEBO,7378,9427,7378,,.46855095,-893
3001,DE TARAPACA,2506,HUARA,1725,207,479,12,667,78,88,157,APRUEBO,1136,1529,1136,,.16867603,196
3003,DE ATACAMA,2525,HUASCO,3913,641,538,58,930,193,196,1309,APRUEBO,3808,4236,3808,,.50816721,-323
3013,METROPOLITANA DE SANTIAGO,2764,HUECHURABA,40261,11004,9452,771,3205,4067,6760,4524,APRUEBO,37173,45959,37173,,.62433338,-5698
3004,DE COQUIMBO,2532,ILLAPEL,11959,3146,1953,150,2738,745,1061,2104,APRUEBO,11166,12633,11166,,.39281321,-674
3013,METROPOLITANA DE SANTIAGO,2765,INDEPENDENCIA,33718,11569,8327,749,2072,2806,4646,3408,APRUEBO,31299,38471,31299,,.46998161,-4753
